temp_C,time_min,h2so4_M,h2o2_M,pulp_density_gL,Li_pct,Ni_pct,Co_pct,Mn_pct
10.0,90.75,0.3,0.333333,228.667,59.779,44.248,43.715,41.065
10.0,90.75,0.3,0.333333,333.0,44.951,41.352,39.513,36.48
10.0,90.75,0.3,0.666667,20.0,56.822,43.019,40.005,17.678
10.0,90.75,0.3,0.666667,124.333,67.145,62.89,60.6,64.104
10.0,90.75,0.3,0.666667,228.667,59.779,44.248,43.715,41.064
10.0,90.75,0.3,0.666667,333.0,44.95,41.352,39.512,36.479
10.0,90.75,0.3,1.0,20.0,56.822,43.021,40.006,17.678
10.0,90.75,0.3,1.0,124.333,67.145,62.891,60.6,64.103
10.0,90.75,0.3,1.0,228.667,59.777,44.248,43.714,41.063
10.0,90.75,0.3,1.0,333.0,44.949,41.35,39.511,36.478
10.0,90.75,0.725,0.0,20.0,56.826,43.024,40.009,17.681
10.0,90.75,0.725,0.0,124.333,67.152,62.897,60.606,64.113
10.0,90.75,0.725,0.0,228.667,59.784,44.252,43.719,41.069
10.0,90.75,0.725,0.0,333.0,44.952,41.354,39.514,36.482
10.0,90.75,0.725,0.333333,20.0,56.828,43.026,40.011,17.682
10.0,90.75,0.725,0.333333,124.333,67.153,62.899,60.608,64.114
10.0,90.75,0.725,0.333333,228.667,59.784,44.253,43.719,41.069
10.0,90.75,0.725,0.333333,333.0,44.952,41.354,39.514,36.481
10.0,90.75,0.725,0.666667,20.0,56.829,43.028,40.013,17.683
10.0,90.75,0.725,0.666667,124.333,67.154,62.9,60.609,64.114
10.0,90.75,0.725,0.666667,228.667,59.783,44.252,43.719,41.069
10.0,90.75,0.725,0.666667,333.0,44.951,41.353,39.513,36.481
10.0,90.75,0.725,1.0,20.0,56.829,43.029,40.014,17.684
10.0,90.75,0.725,1.0,124.333,67.153,62.9,60.609,64.113
10.0,90.75,0.725,1.0,228.667,59.781,44.252,43.718,41.067
10.0,90.75,0.725,1.0,333.0,44.95,41.352,39.512,36.479
10.0,90.75,1.15,0.0,20.0,56.832,43.032,40.016,17.687
10.0,90.75,1.15,0.0,124.333,67.16,62.906,60.614,64.123
10.0,90.75,1.15,0.0,228.667,59.787,44.256,43.722,41.073
10.0,90.75,1.15,0.0,333.0,44.953,41.354,39.515,36.482
10.0,90.75,1.15,0.333333,20.0,56.834,43.035,40.019,17.688
10.0,90.75,1.15,0.333333,124.333,67.161,62.907,60.616,64.123
10.0,90.75,1.15,0.333333,228.667,59.787,44.256,43.722,41.073
10.0,90.75,1.15,0.333333,333.0,44.953,41.354,39.514,36.482
10.0,90.75,1.15,0.666667,20.0,56.835,43.036,40.02,17.689
10.0,90.75,1.15,0.666667,124.333,67.161,62.909,60.617,64.123
10.0,90.75,1.15,0.666667,228.667,59.786,44.256,43.722,41.072
10.0,90.75,1.15,0.666667,333.0,44.952,41.353,39.514,36.481
10.0,90.75,1.15,1.0,20.0,56.835,43.038,40.022,17.689
10.0,90.75,1.15,1.0,124.333,67.16,62.909,60.617,64.122
10.0,90.75,1.15,1.0,228.667,59.785,44.255,43.722,41.071
10.0,90.75,1.15,1.0,333.0,44.951,41.352,39.513,36.48
10.0,90.75,1.575,0.0,20.0,56.837,43.04,40.023,17.691
10.0,90.75,1.575,0.0,124.333,67.166,62.913,60.621,64.13
10.0,90.75,1.575,0.0,228.667,59.789,44.258,43.725,41.076
10.0,90.75,1.575,0.0,333.0,44.953,41.354,39.514,36.482
10.0,90.75,1.575,0.333333,20.0,56.839,43.042,40.025,17.693
10.0,90.75,1.575,0.333333,124.333,67.167,62.915,60.623,64.131
10.0,90.75,1.575,0.333333,228.667,59.789,44.258,43.725,41.076
10.0,90.75,1.575,0.333333,333.0,44.952,41.354,39.514,36.482
10.0,90.75,1.575,0.666667,20.0,56.84,43.044,40.027,17.693
10.0,90.75,1.575,0.666667,124.333,67.167,62.916,60.624,64.131
10.0,90.75,1.575,0.666667,228.667,59.788,44.258,43.725,41.075
10.0,90.75,1.575,0.666667,333.0,44.952,41.353,39.514,36.481
10.0,90.75,1.575,1.0,20.0,56.84,43.045,40.028,17.694
10.0,90.75,1.575,1.0,124.333,67.167,62.916,60.624,64.13
10.0,90.75,1.575,1.0,228.667,59.787,44.257,43.724,41.074
10.0,90.75,1.575,1.0,333.0,44.95,41.352,39.512,36.48
10.0,90.75,2.0,0.0,20.0,56.841,43.046,40.029,17.696
10.0,90.75,2.0,0.0,124.333,67.171,62.919,60.627,64.137
10.0,90.75,2.0,0.0,228.667,59.79,44.26,43.726,41.078
10.0,90.75,2.0,0.0,333.0,44.952,41.353,39.514,36.481
10.0,90.75,2.0,0.333333,20.0,56.843,43.048,40.031,17.697
10.0,90.75,2.0,0.333333,124.333,67.172,62.921,60.629,64.137
10.0,90.75,2.0,0.333333,228.667,59.79,44.26,43.727,41.078
10.0,90.75,2.0,0.333333,333.0,44.951,41.353,39.513,36.481
10.0,90.75,2.0,0.666667,20.0,56.844,43.05,40.033,17.698
10.0,90.75,2.0,0.666667,124.333,67.172,62.922,60.63,64.137
10.0,90.75,2.0,0.666667,228.667,59.789,44.26,43.726,41.077
10.0,90.75,2.0,0.666667,333.0,44.951,41.352,39.513,36.48
10.0,90.75,2.0,1.0,20.0,56.845,43.051,40.034,17.698
10.0,90.75,2.0,1.0,124.333,67.172,62.922,60.63,64.136
10.0,90.75,2.0,1.0,228.667,59.788,44.259,43.726,41.076
10.0,90.75,2.0,1.0,333.0,44.949,41.351,39.512,36.478
10.0,120.0,1.0,0.15,100.0,56.87,53.25,53.98,50.12
10.0,120.0,1.0,1.47,100.0,56.87,53.25,53.98,50.12
10.0,180.5,0.3,0.0,20.0,51.183,34.728,34.027,30.436
10.0,180.5,0.3,0.0,124.333,52.369,58.104,55.93,55.682
10.0,180.5,0.3,0.0,228.667,32.157,27.955,27.943,16.769
10.0,180.5,0.3,0.0,333.0,20.13,16.569,16.848,9.698
10.0,180.5,0.3,0.333333,20.0,51.184,34.729,34.028,30.437
10.0,180.5,0.3,0.333333,124.333,52.37,58.104,55.931,55.683
10.0,180.5,0.3,0.333333,228.667,32.157,27.955,27.944,16.769
10.0,180.5,0.3,0.333333,333.0,20.13,16.569,16.847,9.698
10.0,180.5,0.3,0.666667,20.0,51.184,34.73,34.029,30.438
10.0,180.5,0.3,0.666667,124.333,52.37,58.105,55.931,55.683
10.0,180.5,0.3,0.666667,228.667,32.157,27.955,27.943,16.769
